Form,Strength,DrugName
Capsule/Oral,30MG,Ona-Mast
Tablet/Oral,4MG,Chlorpheniramine Maleate
Tablet/Oral,5MG,Dextroamphetamine Sulfate
Capsule/Oral,35MG,Phenazine
Capsule/Oral,35MG,Phenazine
Capsule/Oral,35MG,Phenazine
Suppository/Rectal,30MG,Seconal Sodium
Suppository/Rectal,60MG,Seconal Sodium
Suppository/Rectal,120MG,Seconal Sodium
Suppository/Rectal,200MG,Seconal Sodium
Lotion/Topical,1%,Acticort
Capsule/Oral,25MG,Diphenhydramine Hydrochloride
Capsule/Oral,50MG,Diphenhydramine Hydrochloride
Syrup/Oral,150MG/15ML,Theophylline
Tablet/Oral,300MG;60MG,Acetaminophen And Codeine Phosphate
Tablet/Oral,35MG,X-Trozine
Tablet/Oral,35MG,X-Trozine
Tablet/Oral,35MG,X-Trozine
Tablet/Oral,35MG,X-Trozine
Tablet/Oral,35MG,X-Trozine
Suppository/Rectal,100MG;2MG,Migergot
Tablet/Oral,100MG;1MG,Wigraine
"Capsule, Extended Release/Oral",130MG,Theoclear L.A.-130
"Capsule, Extended Release/Oral",260MG,Theoclear L.A.-260
Tablet/Oral,500MG,Tolbutamide
Solution/Nasal,0.10%,Tyzine
Solution/Nasal,0.05%,Tyzine
Spray/Nasal,0.10%,Tyzine
Injectable/Injection,100MG/ML,Trimethobenzamide Hydrochloride
Solution/Oral,2%,Lidocaine Hydrochloride Viscous
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Elixir/Oral,12.5MG/5ML,Belix
Tablet/Oral,50MG,Hydrochlorothiazide
Tablet/Oral,10MG,Prednisone
Tablet/Oral,50MG,Prednisone
Tablet/Oral,50MG,Hydrochlorothiazide
Injectable/Injection,100MG/ML,Nandrolone Decanoate
Injectable/Injection,25MG/ML,Aminophylline
Tablet/Oral,10MG,Amitriptyline Hydrochloride
Injectable/Injection,EQ 100MG BASE/VIAL,Hydrocortisone Sodium Succinate
Solution/Inhalation,0.08%,Isoetharine Hydrochloride
Solution/Inhalation,0.08%,Isoetharine Hydrochloride
Solution/Inhalation,0.10%,Isoetharine Hydrochloride
Solution/Inhalation,0.14%,Isoetharine Hydrochloride
Solution/Inhalation,0.17%,Isoetharine Hydrochloride
Solution/Inhalation,0.20%,Isoetharine Hydrochloride
Solution/Inhalation,0.25%,Isoetharine Hydrochloride
Solution/Inhalation,1%,Isoetharine Hydrochloride
Injectable/Injection,40MG/ML,M-Predrol
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Tablet/Oral,300MG;30MG,Acetaminophen And Codeine Phosphate
Tablet/Oral,300MG;60MG,Acetaminophen And Codeine Phosphate
Capsule/Oral,EQ 50MG HCL,Hydroxyzine Pamoate
Capsule/Oral,EQ 100MG HCL,Hydroxyzine Pamoate
Capsule/Oral,EQ 25MG HCL,Hydroxyzine Pamoate
Capsule/Oral,EQ 50MG HCL,Hydroxyzine Pamoate
Tablet/Oral,325MG;50MG;40MG,"Butalbital, Aspirin And Caffeine"
Solution/Inhalation,1%,Beta-2
Syrup/Oral,10MG/5ML,Chlorpromazine Hydrochloride
Injectable/Injection,2MEQ/ML,Potassium Chloride
Injectable/Injection,2MEQ/ML,Potassium Chloride
Tablet/Oral,0.3MG,Estratab
Elixir/Oral,80MG/15ML,Theophylline
Ointment/Topical,5%,Lidocaine
Tablet/Oral,0.025MG;2.5MG,Diphenoxylate Hydrochloride And Atropine Sulfate
Capsule/Oral,EQ 100MG HCL,Hydroxyzine Pamoate
Capsule/Oral,30MG,Phentermine Hydrochloride
Capsule/Oral,15MG,Phentermine Hydrochloride
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Capsule/Oral,30MG,Phentermine Hydrochloride
"Tablet, Extended Release/Oral",600MG,Choledyl Sa
Tablet/Oral,50MG,Amitriptyline Hydrochloride
Tablet/Oral,10MG,Amitriptyline Hydrochloride
Tablet/Oral,75MG,Amitriptyline Hydrochloride
Tablet/Oral,25MG,Amitriptyline Hydrochloride
Tablet/Oral,100MG,Amitriptyline Hydrochloride
Elixir/Oral,80MG/15ML,Theophylline
Tablet/Sublingual,2MG,Wigrettes
Injectable/Injection,12.5GM/50ML,Mannitol 25%
"Tablet, Extended Release/Oral",225MG,Phyllocontin
Injectable/Injection,1%,Lidocaine Hydrochloride
Injectable/Injection,2%,Lidocaine Hydrochloride
Solution/Inhalation,1%,Isoetharine Hydrochloride
Solution/Inhalation,0.50%,Isoproterenol Hydrochloride
Concentrate/Oral,25MG/ML,Imipramine Hydrochloride
Ointment/Topical,0.20%,Nitrofurazone
Lotion/Topical,1%,Scabene
Tablet/Oral,250MG,Chlorothiazide
Tablet/Oral,500MG,Chlorothiazide
Injectable/Injection,10%,Novocain
Tablet/Oral,0.025MG;2.5MG,Diphenoxylate Hydrochloride And Atropine Sulfate
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Tablet/Oral,25MG,Spironolactone
Cream/Topical,0.01%,Fluocinolone Acetonide
Cream/Topical,0.03%,Fluocinolone Acetonide
Tablet/Oral,20MG,Prednisone
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,25MG/ML,Hydroxyzine Hydrochloride
Cream/Topical,0.50%,H-Cort
Lotion/Topical,0.50%,H-Cort
"Capsule, Extended Release/Oral",125MG,Elixophyllin Sr
"Capsule, Extended Release/Oral",250MG,Elixophyllin Sr
Tablet/Oral,10MG,Hydroxyzine Hydrochloride
Tablet/Oral,25MG,Hydroxyzine Hydrochloride
Tablet/Oral,50MG,Chlorthalidone
Tablet/Oral,25MG,Chlorthalidone
Syrup/Oral,2MG/5ML,Cyproheptadine Hydrochloride
Tablet/Oral,35MG,Phendimetrazine Tartrate
Tablet/Oral,2MG,Polaramine
Tablet/Oral,50MG,Hydroxyzine Hydrochloride
Syrup/Oral,2MG/5ML,Polaramine
Capsule/Oral,EQ 25MG HCL,Hydroxyzine Pamoate
Tablet/Oral,25MG,Dapsone
Tablet/Oral,100MG,Dapsone
Solution/Drops/Otic,2%;1%,Orlex Hc
Solution/Drops/Otic,2%,Orlex
Tablet/Oral,150MG,Amitriptyline Hydrochloride
Tablet/Oral,100MG,Amitriptyline Hydrochloride
Tablet/Oral,50MG,Amitriptyline Hydrochloride
Tablet/Oral,25MG,Amitriptyline Hydrochloride
Tablet/Oral,75MG,Amitriptyline Hydrochloride
Concentrate/Oral,100MG/ML,Chlorpromazine Hydrochloride
Tablet/Oral,100MG,Chlorpropamide
Tablet/Oral,250MG,Chlorpropamide
Tablet/Oral,50MG,Prednisone
Capsule/Oral,25MG,Diphenhydramine Hydrochloride
Capsule/Oral,50MG,Diphenhydramine Hydrochloride
Capsule/Oral,10MG,Chlordiazepoxide Hydrochloride
Syrup/Oral,10MG/5ML,Hydroxyzine Hydrochloride
Tablet/Oral,25MG;25MG,Spironolactone And Hydrochlorothiazide
Tablet/Oral,200MG,Promapar
Tablet/Oral,10MG,Promapar
Tablet/Oral,50MG,Promapar
Tablet/Oral,100MG,Promapar
Tablet/Oral,250MG,Disulfiram
Tablet/Oral,500MG,Disulfiram
Capsule/Oral,5MG,Chlordiazepoxide Hydrochloride
Capsule/Oral,25MG,Chlordiazepoxide Hydrochloride
Tablet/Oral,25MG,Spironolactone
Solution/Inhalation,1%,Isoetharine Hydrochloride
Tablet/Oral,2MG,Glycopyrrolate
Tablet/Oral,250MG,Chlorzoxazone
Tablet/Oral,1MG,Glycopyrrolate
Injectable/Injection,40MG/ML,Methylprednisolone Acetate
Injectable/Injection,80MG/ML,Methylprednisolone Acetate
Injectable/Injection,EQ 40MG BASE/VIAL,Methylprednisolone Sodium Succinate
Injectable/Injection,EQ 125MG BASE/VIAL,Methylprednisolone
Injectable/Injection,EQ 500MG BASE/VIAL,Methylprednisolone
Injectable/Injection,EQ 1GM BASE/VIAL,Methylprednisolone
Capsule/Oral,30MG,Phentermine Hydrochloride
Tablet/Oral,500MG,Probenecid
Tablet/Oral,5MG,Isosorbide Dinitrate
Tablet/Oral,10MG,Isosorbide Dinitrate
Tablet/Oral,500MG,Tolbutamide
Elixir/Oral,2MG/5ML,Brompheniramine Maleate
Elixir/Oral,12.5MG/5ML,Diphenhydramine Hydrochloride
Tablet/Oral,500MG,Chlorothiazide
Tablet/Oral,250MG,Chlorothiazide
Tablet/Oral,4MG,Chlorpheniramine Maleate
Capsule/Oral,250MG,Procainamide Hydrochloride
Capsule/Oral,500MG,Procainamide Hydrochloride
Tablet/Oral,50MG,Dipyridamole
Tablet/Oral,25MG,Dipyridamole
Tablet/Oral,75MG,Dipyridamole
Capsule/Oral,30MG,Phentermine Hydrochloride
Tablet/Oral,50MG,Prednisone
Injectable/Injection,0.2MG/ML,Glycopyrrolate
Tablet/Oral,250MG,Chlorzoxazone
Tablet/Oral,0.025MG;2.5MG,Diphenoxylate Hydrochloride And Atropine Sulfate
Capsule/Oral,375MG,Procainamide Hydrochloride
Injectable/Injection,EQ 40MG BASE/VIAL,Methylprednisolone Sodium Succinate
Tablet/Oral,0.5MG;500MG,Probenecid W/ Colchicine
Tablet/Oral,25MG,Hydralazine Hydrochloride
Tablet/Oral,50MG,Hydralazine Hydrochloride
Tablet/Oral,5MG,Prednisone
Suspension/Oral,250MG/5ML,Azulfidine
Tablet/Sublingual,0.5MG,Ergoloid Mesylates
Tablet/Sublingual,1MG,Ergoloid Mesylates
Tablet/Oral,325MG;50MG;40MG,Lanorinal
Tablet/Oral,4MG,Brompheniramine Maleate
Tablet/Oral,750MG,Methocarbamol
Tablet/Oral,500MG,Methocarbamol
Tablet/Oral,500MG,Methocarbamol
Capsule/Oral,325MG;50MG;40MG,Lanorinal
"Tablet, Extended Release/Oral",200MG,Theo-Dur
Syrup/Oral,2MG/5ML,Cyproheptadine Hydrochloride
Tablet/Oral,100MG,Hydrochlorothiazide
Tablet/Oral,325MG;5MG,Roxicet
Tablet/Oral,25MG;25MG,Spironolactone W/ Hydrochlorothiazide
Tablet/Oral,4MG,Trichlormethiazide
Solution/Oral,120MG/5ML;12MG/5ML,Acetaminophen And Codeine Phosphate
Tablet/Oral,2MG,Trichlormethiazide
Tablet/Oral,4MG,Brompheniramine Maleate
"Capsule, Extended Release/Oral",125MG,Theovent
Tablet/Oral,200MG,Quinidine Sulfate
Injectable/Injection,25MG/ML,Orgatrax
Injectable/Injection,50MG/ML,Orgatrax
Capsule/Oral,375MG,Procainamide Hydrochloride
Capsule/Oral,500MG,Procainamide Hydrochloride
Capsule/Oral,30MG,Phentermine Hydrochloride
Capsule/Oral,15MG,Phentermine Hydrochloride
Solution/Inhalation,0.13%,Isoetharine Hydrochloride
Tablet/Oral,50MG,Chlorthalidone
Injectable/Injection,EQ 125MG BASE/VIAL,Methylprednisolone Sodium Succinate
Concentrate/Oral,30MG/ML,Chlorpromazine Hydrochloride
Capsule/Oral,10MG,Chlordiazepoxide Hydrochloride
Injectable/Injection,"1,000 UNITS/ML",Heparin Sodium
Solution/Oral,105MG/5ML,Somophyllin-Df
Tablet/Oral,325MG;50MG;40MG,"Butalbital, Aspirin And Caffeine"
Tablet/Oral,25MG,Chlorthalidone
Concentrate/Oral,100MG/ML,Chlorpromazine Hydrochloride
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Tablet/Oral,25MG,Hydrochlorothiazide
Tablet/Oral,100MG,Hydrochlorothiazide
Injectable/Injection,30MG/ML,Orphenadrine Citrate
Injectable/Injection,EQ 4MG PHOSPHATE/ML,Dexamethasone Sodium Phosphate
Injectable/Injection,10MG/ML,Diphenhydramine Hydrochloride
Tablet/Oral,50MG,Hydrochlorothiazide
Injectable/Injection,66%;10%,Md-76
Injectable/Injection,52%;8%,Md-60
Injectable/Injection,50%,Md-50
Injectable/Injection,"5,000 UNITS/ML",Heparin Sodium
Tablet/Oral,25MG,Spironolactone
Injectable/Injection,100MG/ML,Procainamide Hydrochloride
Injectable/Injection,500MG/ML,Procainamide Hydrochloride
Solution/Topical,0.20%,Nitrofurazone
Tablet/Oral,50MG,Chlorthalidone
Tablet/Oral,300MG;60MG,Acetaminophen And Codeine Phosphate
Tablet/Oral,25MG;15MG;0.1MG,Hydralazine Hydrochloride-Hydrochlorothiazide-Reserpine
Tablet/Oral,25MG,Spironolactone
Tablet/Oral,100MG,Azolid
Tablet/Oral,10MG,Methyltestosterone
Tablet/Oral,500MG,Tolbutamide
Syrup/Oral,80MG/15ML,Theoclear-80
Tablet/Oral,25MG,Chlorthalidone
Solution/Inhalation,1%,Isoetharine Hydrochloride
Cream/Topical,0.01%,Fluocinolone Acetonide
Cream/Topical,0.03%,Fluocinolone Acetonide
Injectable/Injection,"10,000 UNITS/ML",Heparin Sodium
Tablet/Oral,25MG,Spironolactone
Tablet/Oral,25MG,Methyltestosterone
Cream/Topical,0.10%,Triacort
Tablet/Oral,50MG,Chlorthalidone
Tablet/Oral,500MG,Tolbutamide
Syrup/Oral,4MG/5ML,Methdilazine Hydrochloride
Capsule/Oral,30MG,Phentermine Hydrochloride
Tablet/Oral,12.5MG,Meclizine Hydrochloride
Tablet/Oral,25MG,Meclizine Hydrochloride
Tablet/Oral,12.5MG,Meclizine Hydrochloride
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Tablet/Oral,0.025MG;2.5MG,Diphenoxylate Hydrochloride And Atropine Sulfate
Injectable/Injection,80MG/ML,M-Predrol
Cream/Topical,2.50%,Flexicort
Cream/Topical,1%,Flexicort
Cream/Topical,0.50%,Flexicort
Tablet/Oral,300MG;30MG,Acetaminophen And Codeine Phosphate
Solution/Drops/Otic,2%;1%,Acetasol Hc
Capsule/Oral,30MG,Obestin-30
Solution/Drops/Otic,2%,Acetasol
Tablet/Oral,25MG,Android 25
Concentrate/Oral,EQ 10MG BASE/ML,Prochlorperazine
Syrup/Oral,EQ 5MG BASE/5ML,Prochlorperazine Edisylate
Capsule/Oral,100MG,Somophyllin-T
Capsule/Oral,200MG,Somophyllin-T
Capsule/Oral,250MG,Somophyllin-T
Cream/Topical,0.03%,Fluonid
Ointment/Topical,0.03%,Fluonid
Solution/Topical,0.01%,Fluonid
Solution/Topical,0.01%,Fluocinolone Acetonide
Tablet/Oral,50MG,Dipyridamole
Tablet/Oral,4MG,Chlorpheniramine Maleate
Suppository/Rectal,50MG,Promethegan
Tablet/Oral,50MG,Chlorthalidone
Tablet/Oral,50MG,Amitriptyline Hydrochloride
Tablet/Sublingual,1MG,Ergoloid Mesylates
Tablet/Oral,25MG,Dipyridamole
Tablet/Sublingual,1MG,Hydrogenated Ergot Alkaloids
Tablet/Sublingual,0.5MG,Hydrogenated Ergot Alkaloids
Tablet/Oral,500MG,Sulfamethoxazole
Capsule/Oral,30MG,Phentermine Hydrochloride
Capsule/Oral,15MG,Phentermine Hydrochloride
Lotion/Topical,0.03%,Triamcinolone Acetonide
Lotion/Topical,0.10%,Triamcinolone Acetonide
"Capsule, Extended Release/Oral",250MG,Somophyllin-Crt
"Capsule, Extended Release/Oral",100MG,Somophyllin-Crt
Tablet/Oral,0.025MG;2.5MG,Diphenoxylate Hydrochloride And Atropine Sulfate
Tablet/Oral,10MG,Android-F
Tablet/Oral,500MG,Sulfasalazine
Injectable/Injection,25MG/ML,Aminophylline
Capsule/Oral,30MG,Phentermine Hydrochloride
Lotion/Topical,0.05%,Flurandrenolide
Lotion/Topical,10%,Crotan
Capsule/Oral,30MG,Phentermine Hydrochloride
Injectable/Injection,25MG/ML,Aminophylline
Tablet/Oral,25MG;15MG;0.1MG,Ser-A-Gen
Tablet/Oral,325MG;400MG,Methocarbamol And Aspirin
Capsule/Oral,50MG;50MG,Hydralazine Hydrochloride And Hydrochlorothiazide
"Capsule, Extended Release/Oral",105MG,Phendimetrazine Tartrate
Capsule/Oral,30MG,Phentermine Hydrochloride
Tablet/Oral,10MG,Hydroxyzine Hydrochloride
Tablet/Buccal,5MG,Android 5
Capsule/Oral,30MG,Phentermine Hydrochloride
"Tablet, Extended Release/Oral",250MG,Labid
Capsule/Oral,30MG,Phentermine Hydrochloride
Tablet/Oral,EQ 150MG BASE,Chloroquine Phosphate
Capsule/Oral,25MG,Chlordiazepoxide Hydrochloride
Tablet/Sublingual,0.5MG,Ergoloid Mesylates
Capsule/Oral,5MG,Chlordiazepoxide Hydrochloride
Capsule/Oral,30MG,Phentermine Hydrochloride
Injectable/Injection,25MG/ML,Aminophylline
Injectable/Injection,25MG/ML,Aminophylline
Injectable/Injection,25MG/ML,Aminophylline
Injectable/Injection,25MG/ML,Aminophyllin
Tablet/Oral,1MG,Ergoloid Mesylates
Tablet/Oral,50MG,Hydroxyzine Hydrochloride
Tablet/Oral,10MG,Hydroxyzine Hydrochloride
Tablet/Oral,50MG,Chlorthalidone
Injectable/Injection,20MG/ML,Methylprednisolone Acetate
Injectable/Injection,25MG/ML,Aminophylline
Capsule/Oral,100MG,Azolid
Tablet/Oral,25MG,Thioridazine Hydrochloride
Tablet/Oral,25MG,Spironolactone
Shampoo/Topical,1%,Lindane
Tablet/Oral,25MG;25MG,Spironolactone And Hydrochlorothiazide
Injectable/Injection,25MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,25MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Tablet/Oral,300MG;60MG,Acetaminophen And Codeine Phosphate
Tablet/Oral,300MG;30MG,Acetaminophen And Codeine Phosphate
Tablet/Oral,300MG;15MG,Acetaminophen And Codeine Phosphate
Tablet/Oral,25MG,Amitriptyline Hydrochloride
Tablet/Oral,750MG,Methocarbamol
Tablet/Oral,500MG,Methocarbamol
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Cream/Vaginal,3.7%;2.86%;3.42%,Triple Sulfa
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,50MG,Chlorthalidone
Syrup/Oral,10MG/5ML,Hydroxyzine Hydrochloride
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,500MG,Glutethimide
Gel/Topical,0.03%,Fluonid
Capsule/ Oral,15MG,Phentermine Hydrochloride
Tablet/Oral,35MG,Phenazine
Tablet/Oral,300MG;60MG,Acetaminophen And Codeine Phosphate
Tablet/Oral,500MG,Urobak
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,50MG,Chlorthalidone
Lotion/Topical,1%,Lindane
Lotion/Topical,1%,Hydrocortisone
Lotion/Topical,0.50%,Hydrocortisone
Tablet/Oral,500MG,Tolbutamide
Solution/Inhalation,0.20%,Isoetharine Hydrochloride
Tablet/Oral,EQ 5MG BASE,Trifluoperazine Hydrochloride
Injectable/Injection,25MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Tablet/Oral,500MG,Sulfisoxazole
Capsule/Oral,500MG;5MG,Lorcet-Hd
Tablet/Oral,4MG,Methylprednisolone
Tablet/Oral,20MG,Prednisone
Tablet/Oral,250MG,Chlorpropamide
Ointment/Transdermal,2%,Nitroglycerin
Ointment/Topical,0.03%,Triamcinolone Acetonide
Ointment/Topical,0.10%,Triamcinolone Acetonide
"Tablet, Extended Release/Oral",500MG,Pronestyl-Sr
Injectable/Injection,2MEQ/ML,Potassium Chloride
Injectable/Injection,"10,000 UNITS/0.5ML",Heparin Sodium
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,10MG,Amitriptyline Hydrochloride
Tablet/Oral,25MG,Amitriptyline Hydrochloride
Tablet/Oral,100MG,Amitriptyline Hydrochloride
Tablet/Oral,75MG,Amitriptyline Hydrochloride
Tablet/Oral,150MG,Amitriptyline Hydrochloride
"Capsule, Extended Release/Oral",105MG,X-Trozine L.A.
Ointment/Topical,0.03%,Flutex
Ointment/Topical,0.50%,Flutex
Ointment/Topical,0.10%,Flutex
"Capsule, Extended Release/Oral",105MG,Phendimetrazine Tartrate
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,50MG,Chlorthalidone
Tablet/Oral,50MG,Chlorthalidone
Ointment/Topical,0.50%,Triamcinolone Acetonide
Ointment/Topical,0.03%,Triamcinolone Acetonide
Ointment/Topical,0.10%,Triamcinolone Acetonide
Injectable/Injection,25MG/ML,Aminophylline
"Solution/Oral, Rectal",66%;10%,Md-Gastroview
Solution/Inhalation,0.10%,Isoetharine Hydrochloride
Solution/Inhalation,0.17%,Isoetharine Hydrochloride
Injectable/Injection,25MG/ML,Aminophylline
Solution/Oral,5MG/5ML,Methadone Hydrochloride
Capsule/Oral,35MG,X-Trozine
Injectable/Injection,"5,000 UNITS/0.5ML",Heparin Sodium
Solution/Inhalation,0.10%,Isoetharine Hydrochloride
Tablet/Oral,50MG,Bethanechol Chloride
Tablet/Oral,25MG;25MG,Spironolactone And Hydrochlorothiazide
"Tablet, Extended Release/Oral",300MG,Theochron
"Tablet, Extended Release/Oral",100MG,Theochron
"Tablet, Extended Release/Oral",200MG,Theochron
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Tablet/Oral,325MG;5MG,Oxycodone And Acetaminophen
Tablet/Sublingual,0.5MG,Ergoloid Mesylates
Injectable/Injection,25MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,12.5GM/50ML,Mannitol 25%
Tablet/Oral,25MG,Hydroxyzine Hydrochloride
Tablet/Oral,50MG,Hydroxyzine Hydrochloride
Injectable/Injection,25MG/ML,Hydroxyzine Hydrochloride
Tablet/Sublingual,1MG,Alkergot
Capsule/Oral,300MG;60MG,Tylenol W/ Codeine No. 4
Capsule/Oral,300MG;30MG,Tylenol W/ Codeine No. 3
Tablet/Oral,300MG;60MG,Acetaminophen And Codeine Phosphate
Capsule/Oral,35MG,Phendimetrazine Tartrate
Tablet/Oral,300MG,Isoniazid
Cream/Topical,1%,Nogenic Hc
Cream/Topical,0.50%,Triatex
Cream/Topical,0.10%,Triatex
Cream/Topical,0.03%,Triatex
Injectable/Injection,25MG/ML,Aminophylline
Tablet/Oral,300MG;15MG,Acetaminophen And Codeine Phosphate
Tablet/Oral,1MG,Folicet
Injectable/Injection,EQ 5MG BASE/ML,Wellcovorin
Injectable/Injection,EQ 4MG PHOSPHATE/ML,Dexamethasone Sodium Phosphate
Injectable/Injection,100MG/VIAL,Neosar
Injectable/Injection,200MG/VIAL,Neosar
Injectable/Injection,500MG/VIAL,Neosar
Injectable/Injection,1GM/VIAL,Neosar
Injectable/Injection,2GM/VIAL,Neosar
Tablet/Oral,50MG,Bethanechol Chloride
Injectable/Injection,3%,Chloroprocaine Hydrochloride
Injectable/Injection,2%,Chloroprocaine Hydrochloride
"Tablet, Extended Release/Oral",324MG,Quinatime
Solution/Oral,80MG/15ML,Theophylline
Tablet/Oral,50MG,Chlorthalidone
Tablet/Oral,25MG,Chlorthalidone
Injectable/Injection,"1,000 UNITS/ML",Heparin Sodium
Tablet/Oral,500MG,Methocarbamol
Tablet/Oral,750MG,Methocarbamol
Cream/Topical,2.50%,Synacort
Cream/Topical,1%,Synacort
Cream/Topical,0.50%,Synacort
Injectable/Injection,12.5GM/50ML,Mannitol 25%
"Capsule, Extended Release/Oral",260MG,Theophylline
Tablet/Oral,325MG;5MG,Oxycet
Tablet/Oral,325MG;4.5MG;0.38MG,Codoxy
Tablet/Oral,20MG,Prednisone
Tablet/Oral,5MG,Prednisone
Tablet/Oral,25MG,Chlorthalidone
Capsule/Oral,EQ 25MG HCL,Hydroxyzine Pamoate
Tablet/Oral,20MG,Cortan
"Capsule, Extended Release/Oral",105MG,Melfiat-105
Injectable/Injection,50MG/ML,Nandrolone Phenpropionate
Lotion/Topical,1%,Glycort
Tablet/Oral,350MG,Carisoprodol
Tablet/Oral,100MG,Aminophylline
Tablet/Oral,200MG,Aminophylline
Capsule/Oral,375MG,Procan
Tablet/Oral,EQ 150MG BASE,Chloroquine Phosphate
Solution/Drops/Ophthalmic,0.10%,Opcon
Solution/Oral,120MG/5ML;12MG/5ML,Acetaminophen And Codeine Phosphate
Injectable/Injection,1%,Mepivacaine Hydrochloride
"Tablet, Extended Release/Oral",750MG,Procan Sr
Tablet/Oral,25MG;25MG,Spironolactone W/ Hydrochlorothiazide
Capsule/Oral,25MG,Chlordiazepoxide Hydrochloride
Elixir/Oral,12.5MG/5ML,Diphenhydramine Hydrochloride
Syrup/Oral,1.25MG/5ML,Triprolidine Hydrochloride
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,50MG,Chlorthalidone
Elixir/Oral,2MG/5ML,Brompheniramine Maleate
Syrup/Oral,6.25MG/5ML,Promethazine Hydrochloride
Injectable/Injection,100MG/ML,Nandrolone Decanoate
Syrup/Oral,2MG/5ML,Chlorpheniramine Maleate
Tablet/Oral,50MG,Chlorthalidone
Tablet/Oral,100MG,Aminophylline
Tablet/Oral,200MG,Aminophylline
Capsule/Oral,10MG,Chlordiazepoxide Hydrochloride
Capsule/Oral,5MG,Chlordiazepoxide Hydrochloride
Injectable/Injection,EQ 100MG BASE/VIAL,Hydrocortisone Sodium Succinate
Tablet/Oral,1.5MG,Dexamethasone
Tablet/Oral,0.75MG,Dexamethasone
Injectable/Injection,EQ 500MG BASE/VIAL,Methylprednisolone
Injectable/Injection,EQ 1GM BASE/VIAL,Methylprednisolone
Tablet/Oral,20MG,Isosorbide Dinitrate
Tablet/Oral,25MG,Hydrochlorothiazide
Tablet/Oral,50MG,Hydrochlorothiazide
Tablet/Oral,500MG,Tolbutamide
Capsule/Oral,250MG,Procainamide Hydrochloride
Capsule/Oral,500MG,Procainamide Hydrochloride
Tablet/Sublingual,10MG,Isosorbide Dinitrate
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Suspension/Ophthalmic,0.25%;10%,Isopto Cetapred
Tablet/Oral,325MG;50MG,Butalbital And Acetaminophen
Injectable/Injection,1MG/ML,Cyanocobalamin
Tablet/Sublingual,1MG,Ergoloid Mesylates
Tablet/Oral,25MG;25MG,Spironolactone W/ Hydrochlorothiazide
Tablet/Oral,25MG,Spironolactone
Tablet/Oral,25MG,Chlorthalidone
Tablet/Oral,25MG;15MG;0.1MG,"Reserpine, Hydralazine Hydrochloride And Hydrochlorothiazide"
Tablet/Oral,50MG,Amitriptyline Hydrochloride
Tablet/Oral,75MG,Dipyridamole
Tablet/Oral,50MG,Dipyridamole
"Tablet, Extended Release/Oral",300MG,Quibron-T/Sr
Tablet/Oral,30MG,Isosorbide Dinitrate
Tablet/Oral,25MG,Hydrochlorothiazide
Tablet/Oral,4MG,Cyproheptadine Hydrochloride
Injectable/Injection,EQ 250MG BASE/VIAL,Hydrocortisone Sodium Succinate
Injectable/Injection,EQ 500MG BASE/VIAL,Hydrocortisone Sodium Succinate
Injectable/Injection,EQ 1GM BASE/VIAL,Hydrocortisone Sodium Succinate
"Tablet, Extended Release/Oral",400MG,Theophylline
Injectable/Injection,2MEQ/ML,Potassium Chloride
Injectable/Injection,2MEQ/ML,Potassium Chloride
Tablet/Oral,25MG,Hydrochlorothiazide
Tablet/Oral,50MG,Hydrochlorothiazide
Tablet/Oral,500MG,Methocarbamol
Tablet/Oral,750MG,Methocarbamol
Injectable/Injection,25MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,25MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,50MG/ML,Hydroxyzine Hydrochloride
Injectable/Injection,50MG/ML,Nandrolone Decanoate
Injectable/Injection,100MG/ML,Nandrolone Decanoate
Injectable/Injection,25MG/ML,Aminophylline
Injectable/Injection,25MG/ML,Aminophylline
Tablet/Oral,10MG,Hydroxyzine Hydrochloride
